strategy,leg,horizon_days,trades,mean_return,median_return,hit_rate,sharpe_overlap_naive,max_drawdown_overlap_naive,thesis,entry,avoid,option_expression
trend_exhaustion_fade_1w,long_short,5,247,0.013257957573371101,0.010540144524431555,0.6153846153846154,1.9002168200362826,-0.6629519093933642,Very sharp positive slope acceleration tends to mean-revert; short-dated puts or put spreads can express a 1-week fade.,Rank low after orienting slope acceleration as a fade signal; strongest when the recent acceleration is extreme.,"Avoid catalyst breakouts, earnings gaps, and high-short-interest squeeze conditions.","Put debit spreads or small long puts, 1-3 week expiry; spreads preferred when IV is high."
momentum_continuation_2w,long_short,10,242,0.017257679945844963,0.021007151419518748,0.6157024793388429,1.3354803753973572,-0.8375052380781598,"When 10-day momentum is confirmed by trend slope and gap follow-through, short-dated calls or call spreads can capture continuation over 1-3 weeks.","Rank high on 10d momentum, 12d slope, and gap-follow participation; prefer liquid names.",Avoid if IV/event risk makes calls too expensive or if the move is purely one-day volume without slope confirmation.,"Long calls or call debit spreads, 2-4 week expiry; use spreads when IV rank is elevated."
trend_exhaustion_fade_1w,long_short,10,242,0.01933133094707624,0.013566492297147311,0.5867768595041323,1.3347294903424987,-0.8444476216666074,Very sharp positive slope acceleration tends to mean-revert; short-dated puts or put spreads can express a 1-week fade.,Rank low after orienting slope acceleration as a fade signal; strongest when the recent acceleration is extreme.,"Avoid catalyst breakouts, earnings gaps, and high-short-interest squeeze conditions.","Put debit spreads or small long puts, 1-3 week expiry; spreads preferred when IV is high."
momentum_continuation_2w,long_short,5,247,0.006321257987061601,0.007972338961582602,0.5748987854251012,1.0846091046108766,-0.4369179656596245,"When 10-day momentum is confirmed by trend slope and gap follow-through, short-dated calls or call spreads can capture continuation over 1-3 weeks.","Rank high on 10d momentum, 12d slope, and gap-follow participation; prefer liquid names.",Avoid if IV/event risk makes calls too expensive or if the move is purely one-day volume without slope confirmation.,"Long calls or call debit spreads, 2-4 week expiry; use spreads when IV rank is elevated."
momentum_continuation_2w,long_short,15,237,0.022415244214416423,0.02389182403941781,0.6075949367088608,1.0340707940815208,-0.936747438517294,"When 10-day momentum is confirmed by trend slope and gap follow-through, short-dated calls or call spreads can capture continuation over 1-3 weeks.","Rank high on 10d momentum, 12d slope, and gap-follow participation; prefer liquid names.",Avoid if IV/event risk makes calls too expensive or if the move is purely one-day volume without slope confirmation.,"Long calls or call debit spreads, 2-4 week expiry; use spreads when IV rank is elevated."
trend_exhaustion_fade_1w,long_short,15,237,0.014683991888068154,0.017392628888157402,0.5780590717299579,0.711839179010564,-0.9178345534102184,Very sharp positive slope acceleration tends to mean-revert; short-dated puts or put spreads can express a 1-week fade.,Rank low after orienting slope acceleration as a fade signal; strongest when the recent acceleration is extreme.,"Avoid catalyst breakouts, earnings gaps, and high-short-interest squeeze conditions.","Put debit spreads or small long puts, 1-3 week expiry; spreads preferred when IV is high."
accumulation_breakout_3w,long_short,15,237,0.0066461767187169325,0.003941163662523916,0.5274261603375527,0.4497283059406222,-0.6181499331203953,Persistent close-near-high accumulation with volume and range pressure can precede 2-3 week breakouts.,"Rank high on accumulation pressure, range close pressure, and volume participation.",Avoid if the name is already extended and IV is pricing the full move.,"Call debit spreads, 3-5 week expiry, or defined-risk call calendars when IV term structure supports it."
accumulation_breakout_3w,long_short,10,242,0.0035767726874226372,0.0034563397363927993,0.5289256198347108,0.3485374964527416,-0.5235524594368544,Persistent close-near-high accumulation with volume and range pressure can precede 2-3 week breakouts.,"Rank high on accumulation pressure, range close pressure, and volume participation.",Avoid if the name is already extended and IV is pricing the full move.,"Call debit spreads, 3-5 week expiry, or defined-risk call calendars when IV term structure supports it."
gap_follow_through_1w,long_short,5,247,0.0011220366007480668,-0.0003147413127942353,0.4939271255060729,0.20318439387111176,-0.3760367618359073,Gaps with volume participation can keep moving for several sessions in US single names.,"Rank high on gap-follow score and volume shock, with adequate liquidity.","Avoid thin names, known news exhaustion, and gaps into major resistance after long prior runs.","Directional calls/puts aligned with the gap, usually 1-2 week expiry; define risk with debit spreads."
accumulation_breakout_3w,long_short,5,247,-0.0004487633952272594,-0.002104177675776118,0.4817813765182186,-0.09364612878191339,-0.6521079039025368,Persistent close-near-high accumulation with volume and range pressure can precede 2-3 week breakouts.,"Rank high on accumulation pressure, range close pressure, and volume participation.",Avoid if the name is already extended and IV is pricing the full move.,"Call debit spreads, 3-5 week expiry, or defined-risk call calendars when IV term structure supports it."
gap_follow_through_1w,long_short,15,237,-0.0019034200131747203,-0.00400479403419355,0.4641350210970464,-0.10593857089081508,-0.8649410742520844,Gaps with volume participation can keep moving for several sessions in US single names.,"Rank high on gap-follow score and volume shock, with adequate liquidity.","Avoid thin names, known news exhaustion, and gaps into major resistance after long prior runs.","Directional calls/puts aligned with the gap, usually 1-2 week expiry; define risk with debit spreads."
gap_follow_through_1w,long_short,10,242,-0.0021252386921884053,-0.001637451961577937,0.49586776859504134,-0.18333180873501975,-0.7805879334654475,Gaps with volume participation can keep moving for several sessions in US single names.,"Rank high on gap-follow score and volume shock, with adequate liquidity.","Avoid thin names, known news exhaustion, and gaps into major resistance after long prior runs.","Directional calls/puts aligned with the gap, usually 1-2 week expiry; define risk with debit spreads."
gap_snapback_fade_1w,long_short,10,242,-0.010336374047911294,-0.009569040408981478,0.4462809917355372,-0.7883103612274749,-0.9764739012093042,Overnight gaps away from typical price often snap back over the next week when not confirmed by follow-through.,Rank high on gap-fade and open-vs-typical-price snapback signal.,"Avoid fundamental repricing gaps, earnings days, and sector-wide repricing.",Contrarian calls after down gaps or puts after up gaps; prefer spreads because timing decay is harsh.
gap_snapback_fade_1w,long_short,5,247,-0.004891463631644182,-0.007479818484905355,0.44129554655870445,-0.8030979634473531,-0.8556165222978577,Overnight gaps away from typical price often snap back over the next week when not confirmed by follow-through.,Rank high on gap-fade and open-vs-typical-price snapback signal.,"Avoid fundamental repricing gaps, earnings days, and sector-wide repricing.",Contrarian calls after down gaps or puts after up gaps; prefer spreads because timing decay is harsh.
gap_snapback_fade_1w,long_short,15,237,-0.017849205325323803,-0.018561035984543936,0.43037974683544306,-0.8325036580572571,-0.9952836170367595,Overnight gaps away from typical price often snap back over the next week when not confirmed by follow-through.,Rank high on gap-fade and open-vs-typical-price snapback signal.,"Avoid fundamental repricing gaps, earnings days, and sector-wide repricing.",Contrarian calls after down gaps or puts after up gaps; prefer spreads because timing decay is harsh.
